title,rating,review_body
Cool Book,5.0 out of 5 stars,Cool Book for people interested in Destiny The Video Game
Great for Destiny Fans that are interested in the lore of the Universe.,5.0 out of 5 stars,Great book with intriguing bits about the Lore. The material of the book is excellent and professional and i can't wait for the next one to come out soon!
Great !,5.0 out of 5 stars,Everything great !
Highly recommend,5.0 out of 5 stars,"Great for Destiny lore fans like myself, highly recommend."
Good reading!,5.0 out of 5 stars,Must buy for destiny lovers!
Better value than the DLC,5.0 out of 5 stars,"The only thing that kept me sane during the awful Forsaken DLC. Destiny lore has always been interesting, and this contributes greatly."
Amazing product for lore lovers,5.0 out of 5 stars,Excellent presentation and writing at a low price!
Ottimo,5.0 out of 5 stars,Era un regalo ed è stato apprezzato tantissimo
Is pretty interesting and fans of destiny will love it,5.0 out of 5 stars,Is a really good book to pass time
Its bigger than I thought it would be,5.0 out of 5 stars,Full of detail and very interesting!Emblem is on a slip of paper in the back of the book
Can’t wait for vol 2,5.0 out of 5 stars,Great product of your a fan of destiny
Non può mancare nella collezione.,5.0 out of 5 stars,"Stupendo, non può mancare."
If you like destiny you’ll love this,4.0 out of 5 stars,Took forever to get here (ordered in October arrived after Christmas) but delighted with it now it’s here. Also this version did come with the code for the emblem
Excellently Presented Book,5.0 out of 5 stars,"Fantastic, quality. Arrived in a timely fashion. Very good present for fans of the Destiny franchise."
Really high quality,5.0 out of 5 stars,Happy to report this is amazing for fans of the destiny series and a great purchase
Per gli appassionati della serie,4.0 out of 5 stars,Racconta i retroscena del mondo in cui è ambientato Destiny.E' purtroppo esclusivamente in inglese
A good price for a good item,5.0 out of 5 stars,"If you're a Destiny fan and you loce lore, it's perfect.Nice leather front/back and a bonus code."
Beautiful book we all hoped for.,5.0 out of 5 stars,Everything I hoped for and includes an emblem for the game.The leather feel is stunning too.
Nice book,5.0 out of 5 stars,Excellent thanks
A great first impression for this book series so far,5.0 out of 5 stars,Great read and a must have for anyone who is interested in the lore behind Destiny.
Great for a fan of destiny.,5.0 out of 5 stars,A very beautiful book. My destiny fan thought it was fab.
For all the Destiny lore on hive,5.0 out of 5 stars,A great book great delivery time and a great price
Amazing Lore,5.0 out of 5 stars,A must have for any destiny fan. Fantastic product at a fantastic price
Brilliant Item for fans,5.0 out of 5 stars,"Great item, well made with some very interesting bits of lore in it."
Great price,5.0 out of 5 stars,"Got for a present, great price for the Uk"
Comes with emblem code,5.0 out of 5 stars,Took a while to come but is very well made and written.
Good read,5.0 out of 5 stars,Bought this as a present. Highly recommend  if destiny fan
Perfect,5.0 out of 5 stars,Who doesn’t like a good premium feel lure game book
All good,4.0 out of 5 stars,Ok
Todo perfecto,5.0 out of 5 stars,Todo perfecto
Fantastic,5.0 out of 5 stars,Fantastic book for anyone who enjoys Bungie's Destiny.
Book,5.0 out of 5 stars,Very good book just what my grandson wanted
Buena calidad,5.0 out of 5 stars,todo ok ahora a por siguiente
Excellent,5.0 out of 5 stars,Came on time very happy
Para Fans de Destiny!,5.0 out of 5 stars,Calidad increíble. Recoge Books of Sorrow y la historia de Thorn y The Last Word.
Very good qualify,5.0 out of 5 stars,Very good qualify
Grimoire destiny anthology,5.0 out of 5 stars,"Produit conforme à l'annonce. Vendeur, sérieux, rapide. Je le recommande vivement"
A must have for any lore enthusiasts,5.0 out of 5 stars,Excellent!
Perfecto,5.0 out of 5 stars,"Un ""must have"" para los amantes de Destiny"
Amazing gift,5.0 out of 5 stars,"My husband loved the book, he's a huge destiny fan and read it front to back at least twice. Beautifully illustrated."
